Citation,White,Black,Hispanic,Situational Vulnerability,Indigenous,Indian,First Nation,Métis,Metis,Inuit,reserve,American Indian,Alaska Native,Enrolled Tribe,Principal Tribe,Native Hawaiian,Samoan,Chamorro,Pacific Islander
"Macfarlane et al., 2022",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mandarano & Meenar, 2017",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Maney & Locke, 2025",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maroko et al., 2009",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marshman, 2018",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Martin & Conway, 2025",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Martin et al., 2025",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Martin, 2022",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"McDonald et al., 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendoza, 2020",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mennis, 2011",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miller et al., 2022",1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
"Miller, 2019",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Minaravesh, 2025",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mix et al., 2024",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miyake et al., 2010",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mladenka & Hill, 1977",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moore et al., 2008",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mustafa et al., 2023",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neckerman et al., 2009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nega et al., 2010",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Nelson et al., 2021",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nesbitt & Meitner, 2016",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
